name;surname;teacher;N01;N02;N03;N04;N05;N06;N07;N08;N09;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23;N24;N25;N26;N27;N28
theme_of_lesson;;;lesson 1;BJD;OMS;Tema yroka;pravilo;theme;theme;theme;theme;theme;theme;theme;theme;theme;theme;theme;theme;OMS;theme;OMS;theme;OMS;theme;OMS;theme;OMS;OMS;OMS
name1;surname1;ivani;2;3;2;4;4;4;4;3;3;5;5;5;5;5;4;4;4;4;3;3;5;5;5;5;5;4;4;
name2;surname2;ivani;5;5;4;5;2;2;5;3;4;2;2;2;2;2;5;5;5;5;3;4;2;2;2;2;2;5;5;
name3;surname3;ivani;4;3;4;3;3;5;3;4;4;5;5;5;5;5;3;3;3;3;4;4;5;5;5;5;5;3;3;
name4;surname4;ivani;3;3;5;2;3;2;2;3;5;2;2;2;2;2;2;2;2;2;3;5;2;2;2;2;2;2;2;
name5;surname5;ivani;5;5;3;3;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;
name6;surname6;ivani;2;4;3;3;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
name7;surname7;ivani;3;4;3;5;5;4;4;3;5;3;3;3;3;3;4;4;4;4;3;5;3;3;3;3;3;4;4;
name8;surname8;ivani;3;5;5;5;2;2;2;5;2;4;4;4;4;4;2;2;2;2;5;2;4;4;4;4;4;2;2;
name9;surname9;ivani;4;4;3;3;3;5;2;4;4;4;4;4;4;4;2;2;2;2;4;4;4;4;4;4;4;2;2;
Маша;Загара;ivani;4;4;3;3;3;5;2;4;4;4;4;4;4;4;2;2;2;2;4;4;4;4;4;4;4;2;2;
name12;surname12;ivani;2;3;2;4;4;4;4;3;3;5;5;5;5;5;4;4;4;4;3;3;5;5;5;5;5;4;4;
